Time,Counting,VIZ,Speed,Max Vehicle dwell time,Counting,VIZ,Speed,Max Vehicle dwell time,Open Lane,,,Link
0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=0Pg3S6s76IE
3/7/2025 12:00,34,0,18.23746447,442,0,0,0,0,1,93.81411765,,
3/7/2025 12:05,63,0,18.65968457,567,2,0,21.786408,16,0,95.98603175,112.07,
3/7/2025 12:10,36,0,19.611558,1728,6,0,15.5277,300,1,100.8825,79.875,
3/7/2025 12:15,42,0,17.20879714,1512,2,0,0,100,1,88.52261905,0,
3/7/2025 12:20,50,0,19.1837808,150,4,0,12.272472,204,0,98.682,63.13,
3/7/2025 12:25,37,0,15.95666724,1258,1,0,0,34,0,82.08162162,0,
3/7/2025 12:30,49,0,18.94051102,882,4,0,15.800346,216,1,97.43061224,81.2775,
3/7/2025 12:35,58,0,20.950488,1798,4,0,11.104614,172,0,107.77,57.1225,
3/7/2025 12:40,38,0,20.99709284,190,0,0,0,0,1,108.0097368,,
3/7/2025 12:45,35,0,20.81046446,140,6,0,20.652084,330,1,107.0497143,106.235,
3/7/2025 12:50,65,0,18.47777982,715,3,0,15.404904,93,0,95.05030769,79.24333333,
3/7/2025 12:55,49,0,17.99398139,1176,7,0,14.69302971,217,1,92.56163265,75.58142857,
3/7/2025 13:00,54,0,18.399708,3078,7,0,18.49854857,343,0,94.6487037,95.15714286,
3/7/2025 13:05,33,0,19.63286836,1782,0,0,0,0,1,100.9921212,,
3/7/2025 13:10,43,0,16.67020688,2322,8,0,5.459724,280,0,85.75209302,28.085,
3/7/2025 13:15,55,0,19.69742095,990,0,0,0,0,1,101.3241818,,
3/7/2025 13:20,41,0,22.04405912,861,1,0,0,30,0,113.3953659,0,
3/7/2025 13:25,50,0,18.46765008,1950,0,0,0,0,1,94.9982,,
3/7/2025 13:30,6,0,16.086924,204,0,0,0,0,0,82.75166667,,
3/10/2025 10:20,76,0,2.876045684,1976,23,0,2.21370887,23,1,14.79447368,11.3873913,
3/10/2025 10:25,76,0,2.184211895,456,19,0,1.421780211,1102,0,11.23565789,7.313684211,
3/10/2025 10:30,99,0,1.601797091,4653,5,0,4.21848,115,0,8.23969697,21.7,
3/10/2025 10:35,106,0,2.044464453,5936,23,0,1.472706783,184,1,10.51679245,7.575652174,
3/10/2025 10:40,129,0,2.224945674,0,30,0,1.6780608,540,0,11.4451938,8.632,
3/10/2025 10:45,61,0,2.750090754,1037,17,0,1.258797176,561,0,14.14655738,6.475294118,
3/10/2025 10:50,129,0,2.888934698,3870,29,0,1.711993655,377,0,14.86077519,8.806551724,
3/10/2025 10:55,42,0,4.072078286,1806,32,0,4.2404715,1248,1,20.94690476,21.813125,
3/10/2025 11:00,69,0,2.142541565,483,35,0,0.994828114,980,0,11.02130435,5.117428571,
3/10/2025 11:05,78,0,5.200524,4368,28,0,3.072978,1652,0,26.75166667,15.8075,
3/10/2025 11:10,65,0,4.157707569,3900,25,0,0.66414816,700,0,21.38738462,3.4164,
3/10/2025 11:15,37,0,5.350623568,1221,17,0,1.811464941,289,0,27.52378378,9.318235294,
3/10/2025 11:20,56,0,6.068126571,448,18,0,4.05972,180,1,31.21464286,20.88333333,
3/10/2025 11:25,20,0,6.686874,1200,6,0,8.640432,96,1,34.3975,44.44666667,
3/10/2025 11:30,67,0,5.206931463,1809,20,0,1.6761168,620,1,26.78462687,8.622,
3/10/2025 11:35,32,0,9.012384,704,2,0,3.505032,78,1,46.36,18.03,
3/10/2025 11:40,37,0,13.52009968,1221,8,0,0.486,80,0,69.54783784,2.5,
3/10/2025 11:45,42,0,14.33450057,2142,7,0,6.681805714,70,1,73.73714286,34.37142857,
3/10/2025 11:50,11,0,11.21581964,506,10,0,10.2923136,470,0,57.69454545,52.944,
3/10/2025 11:55,0,0,0,0,0,0,0,0,0,,,
3/10/2025 12:00,0,0,0,0,0,0,0,0,0,,,
3/10/2025 12:05,30,0,8.434368,1530,4,0,7.14906,124,1,43.38666667,36.775,
3/10/2025 12:10,52,0,5.606720308,2496,15,0,3.0095712,840,1,28.84115385,15.48133333,
3/10/2025 12:15,40,0,13.051044,1840,3,0,12.25692,99,0,67.135,63.05,
3/10/2025 12:20,41,0,16.44415376,2296,8,0,11.694132,320,0,84.58926829,60.155,
3/10/2025 12:25,64,0,14.353767,0,8,0,9.894231,344,1,73.83625,50.89625,
3/10/2025 12:30,39,0,4.496372308,2028,14,0,1.584776571,532,0,23.12948718,8.152142857,
3/10/2025 12:35,38,0,4.218326526,684,5,0,2.0030976,180,0,21.69921053,10.304,
3/10/2025 12:40,16,0,3.513537,496,1,0,1.944,29,1,18.07375,10,
3/10/2025 12:45,61,0,9.57502859,1342,15,0,1.3294368,60,0,49.2542623,6.838666667,
3/10/2025 12:50,49,0,9.494456327,1519,10,0,4.7486088,50,0,48.83979592,24.427,
3/10/2025 12:55,38,0,5.238875368,1178,17,0,1.215800471,748,1,26.94894737,6.254117647,
3/10/2025 13:00,40,0,5.3282124,2160,9,0,4.107888,315,0,27.4085,21.13111111,
3/10/2025 13:05,27,0,2.974104,1107,9,0,4.421952,432,1,15.29888889,22.74666667,
3/10/2025 13:10,66,0,3.160207636,2970,9,0,3.753216,450,0,16.25621212,19.30666667,
3/10/2025 13:15,31,0,6.549085161,248,20,0,1.4897844,800,0,33.68870968,7.6635,
3/10/2025 13:20,40,0,8.2332774,960,10,0,9.0294912,400,0,42.35225,46.448,
3/10/2025 13:25,36,0,6.761124,1512,14,0,2.139094286,630,0,34.77944444,11.00357143,
3/10/2025 13:30,43,0,2.138038326,1032,22,0,0.350008364,286,1,10.99813953,1.800454545,
3/10/2025 13:35,9,0,6.306336,153,3,0,0.108216,3,0,32.44,0.556666667,
